# ppt
,Texas
TIMESTEP,MEAN(mm/month)
1913-01-01T00:00:00Z,14.744876
1913-02-01T00:00:00Z,21.787285
1913-03-01T00:00:00Z,5.5541787
1913-04-01T00:00:00Z,30.893776
1913-05-01T00:00:00Z,32.869892
1913-06-01T00:00:00Z,58.059963
1913-07-01T00:00:00Z,34.642673
1913-08-01T00:00:00Z,32.841923
1913-09-01T00:00:00Z,85.56227
1913-10-01T00:00:00Z,9.531696
1913-11-01T00:00:00Z,68.014404
1913-12-01T00:00:00Z,62.655224
1914-01-01T00:00:00Z,0.5616848
1914-02-01T00:00:00Z,1.0181736
1914-03-01T00:00:00Z,4.0063677
1914-04-01T00:00:00Z,41.773785
1914-05-01T00:00:00Z,135.55074
1914-06-01T00:00:00Z,57.597237
1914-07-01T00:00:00Z,88.64502
1914-08-01T00:00:00Z,52.003586
1914-09-01T00:00:00Z,2.1056736
1914-10-01T00:00:00Z,96.56673
1914-11-01T00:00:00Z,0.058248937
1914-12-01T00:00:00Z,7.817063
1915-01-01T00:00:00Z,11.603746
1915-02-01T00:00:00Z,49.529263
1915-03-01T00:00:00Z,10.910208
1915-04-01T00:00:00Z,133.8745
1915-05-01T00:00:00Z,97.06042
1915-06-01T00:00:00Z,117.5725
1915-07-01T00:00:00Z,68.15935
1915-08-01T00:00:00Z,70.90682
1915-09-01T00:00:00Z,97.88933
1915-10-01T00:00:00Z,42.202946
1915-11-01T00:00:00Z,3.5914729
1915-12-01T00:00:00Z,8.743576
1916-01-01T00:00:00Z,9.107257
1916-02-01T00:00:00Z,0.010743645
1916-03-01T00:00:00Z,3.367809
1916-04-01T00:00:00Z,51.670605
1916-05-01T00:00:00Z,6.6664286
1916-06-01T00:00:00Z,80.4592
1916-07-01T00:00:00Z,10.99122
1916-08-01T00:00:00Z,51.989445
1916-09-01T00:00:00Z,65.39391
1916-10-01T00:00:00Z,10.374173
1916-11-01T00:00:00Z,3.0322235
1916-12-01T00:00:00Z,13.218131
1917-01-01T00:00:00Z,8.733284
1917-02-01T00:00:00Z,5.0089393
1917-03-01T00:00:00Z,2.9221084
1917-04-01T00:00:00Z,28.13758
1917-05-01T00:00:00Z,50.994396
1917-06-01T00:00:00Z,31.275537
1917-07-01T00:00:00Z,44.998566
1917-08-01T00:00:00Z,121.69653
1917-09-01T00:00:00Z,58.53194
1917-10-01T00:00:00Z,5.2303243
1917-11-01T00:00:00Z,12.929826
1917-12-01T00:00:00Z,0.40274927
1918-01-01T00:00:00Z,11.853902
1918-02-01T00:00:00Z,4.752114
1918-03-01T00:00:00Z,38.62711
1918-04-01T00:00:00Z,37.179058
1918-05-01T00:00:00Z,81.71065
1918-06-01T00:00:00Z,28.693926
1918-07-01T00:00:00Z,56.12446
1918-08-01T00:00:00Z,46.708035
1918-09-01T00:00:00Z,74.47816
1918-10-01T00:00:00Z,53.156136
1918-11-01T00:00:00Z,12.397962
1918-12-01T00:00:00Z,74.53566
1919-01-01T00:00:00Z,1.0854965
1919-02-01T00:00:00Z,30.060596
1919-03-01T00:00:00Z,54.10833
1919-04-01T00:00:00Z,43.07609
1919-05-01T00:00:00Z,60.234905
1919-06-01T00:00:00Z,46.73327
1919-07-01T00:00:00Z,48.731945
1919-08-01T00:00:00Z,38.431408
1919-09-01T00:00:00Z,60.835663
1919-10-01T00:00:00Z,34.60467
1919-11-01T00:00:00Z,19.251501
1919-12-01T00:00:00Z,8.109403
1920-01-01T00:00:00Z,10.300811
1920-02-01T00:00:00Z,1.1155654
1920-03-01T00:00:00Z,8.230328
1920-04-01T00:00:00Z,17.302303
1920-05-01T00:00:00Z,74.59958
1920-06-01T00:00:00Z,65.09033
1920-07-01T00:00:00Z,37.819286
1920-08-01T00:00:00Z,57.987614
1920-09-01T00:00:00Z,71.29825
1920-10-01T00:00:00Z,63.573795
1920-11-01T00:00:00Z,16.211012
1920-12-01T00:00:00Z,17.106552
1921-01-01T00:00:00Z,20.18302
1921-02-01T00:00:00Z,20.200842
1921-03-01T00:00:00Z,3.4752831
1921-04-01T00:00:00Z,33.65682
1921-05-01T00:00:00Z,74.07463
1921-06-01T00:00:00Z,73.70011
1921-07-01T00:00:00Z,118.96671
1921-08-01T00:00:00Z,35.29296
1921-09-01T00:00:00Z,9.448426
1921-10-01T00:00:00Z,4.8550134
1921-11-01T00:00:00Z,0.015449415
1921-12-01T00:00:00Z,5.756322
1922-01-01T00:00:00Z,8.90047
1922-02-01T00:00:00Z,26.413582
1922-03-01T00:00:00Z,59.964775
1922-04-01T00:00:00Z,36.143066
1922-05-01T00:00:00Z,40.09605
1922-06-01T00:00:00Z,55.038334
1922-07-01T00:00:00Z,48.466225
1922-08-01T00:00:00Z,24.510056
1922-09-01T00:00:00Z,45.190468
1922-10-01T00:00:00Z,5.7934875
1922-11-01T00:00:00Z,20.354036
1922-12-01T00:00:00Z,0.42907214
1923-01-01T00:00:00Z,0.0
1923-02-01T00:00:00Z,10.297689
1923-03-01T00:00:00Z,15.730586
1923-04-01T00:00:00Z,30.82881
1923-05-01T00:00:00Z,86.663155
1923-06-01T00:00:00Z,105.53191
1923-07-01T00:00:00Z,40.779774
